Project,Class,Pattern Predicted
pcgen-svn,ListFacade,Facade
basiclti-portlet,AbstractAdapter,Adapter
cdk,RendererAdapter,Adapter
Emma,IClassDefVisitor,Visitor
milton,SpringResourceFactoryFactory,AbstractFactory
platform,Axis2ConfigurationContextObserverImpl,Observer
cdk,TemplateVisitor,Visitor
harmony-classlib,BeanContextProxy,Proxy
pcgen-svn,TermEvaluatorBuilder,Builder
udig-platform,UdigMemento,Memento
cayenne,DefaultWidgetFactory,AbstractFactory
cdk,AttributeAdapter,Adapter
frostwire-desktop,ProxyBlock,Proxy
jbehave-core,AbstractStepsFactory,AbstractFactory
ccw,ClojureLineBreakpointAdapter,Adapter
java-design-patterns,SoldierVisitor,Visitor
pellet,ATermVisitor,Visitor
platform,CSGAgentObserver,Observer
cdo,DNDDropAdapter,Adapter
AllBinary-Platform,StoreAdminUserEmailEventHandlerSingletons,Singleton
jbehave-core,FailureCorrelationStories,
sample-projects,Visitor,Visitor
stratosphere,ExecutionObserver,Observer
ocl,CompleteOCLCSTFactory,AbstractFactory
Catroid,PrototypeBrickAdapter,Adapter
petals-studio,Filetransfer2xFactoryImpl,AbstractFactory
ChenSun,JDBC4MysqlPooledConnection,
platform,TaskAxis2ConfigurationContextObserver,Observer
zk,UiFactory,AbstractFactory
jbehave-core,WeldStepsFactory,AbstractFactory
jbehave-core,PendingSteps,
liferay-portal,LayoutPrototypePermission,
rt.equinox.p2,Memento,Prototype
pcgen-svn,ListFacades,Facade
Generic-Graph-View,GraphViewMappingFactoryImpl,AbstractFactory
MPS,MappingsMemento,Memento
zk,AbstractUiFactory,AbstractFactory
cruisecontrol,LogFileSetupDecorator,Decorator
flume_1,ExceptionTwiddleDecorator,Decorator
orion.server,ResourceShapeFactory,FactoryMethod
